provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
"NHC HEALTHCARE, WEST PLAINS",MO,65775,For profit - Corporation,114,62.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.00343,1.4522,3.45562,0.31339,0,2,1,0,0,0,0
DELMAR GARDENS ON THE GREEN,MO,63017,For profit - Limited Liability company,163,86.2,Medicare and Medicaid,N,N,,Y,Y,Resident,Yes,1,1,4,1,3.07651,1.37887,4.45539,0.22438,,3,8,2,3,0,3
SPRINGFIELD REHABILITATION & HEALTH CARE CENTER,MO,65807,For profit - Corporation,146,91.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.31277,1.18698,3.49976,0.46655,0,1,0,0,0,0,0
"NHC HEALTHCARE, DESLOGE",MO,63601,For profit - Limited Liability company,120,60.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,1.99042,1.05688,3.0473,0.22834,0,0,1,1,4,0,4
"MARY, QUEEN AND MOTHER CENTER",MO,63119,Non profit - Church related,230,125.5,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,2,1,5,1,,,,,,1,3,1,13,0,13
LEWIS & CLARK GARDENS,MO,63301,For profit - Limited Liability company,142,72.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,1.84921,1.07059,2.9198,0.19336,2,6,4,4,2,0,2
WILSON'S CREEK NURSING & REHAB,MO,65802,For profit - Corporation,172,123.4,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,3,2,5,2,1.88432,0.68506,2.56938,0.16972,0,1,3,0,1,1,2
MACON HEALTH CARE CENTER,MO,63552,For profit - Corporation,84,38.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,4,4,1.40484,1.37302,2.77786,0.72264,0,0,0,0,0,0,0
WEST VUE NURSING AND REHABILITATION CENTER,MO,65775,Non profit - Church related,130,85.8,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,4,3,4,5,2.79504,1.47713,4.27217,0.49177,0,0,0,0,0,0,0
CHARLESTON MANOR,MO,63834,For profit - Limited Liability company,120,33.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.87393,0.88131,3.75524,0.5034,3,0,0,0,0,0,0
"NHC HEALTHCARE, ST CHARLES",MO,63303,For profit - Corporation,120,75.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,2.10654,1.19365,3.30019,0.14128,0,12,2,0,3,0,3
HIGHLAND REHABILITATION & HEALTH CARE CENTER,MO,64131,For profit - Limited Liability company,162,124.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,2.12818,0.74384,2.87203,0.20367,,2,2,3,4,1,5
"NHC HEALTHCARE, KENNETT",MO,63857,For profit - Corporation,170,75.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,2,4,2.27322,1.3448,3.61803,0.30398,0,0,1,0,2,0,2
PIONEER SKILLED NURSING CENTER,MO,64658,For profit - Corporation,96,49.7,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,2,5,4,2.13729,1.09547,3.23276,0.42697,1,0,1,0,1,0,1
DELMAR GARDENS OF CHESTERFIELD,MO,63017,For profit - Corporation,227,167.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,2.60599,1.07616,3.68215,0.16151,,0,5,1,3,0,3
OSAGE BEACH REHABILITATION AND HEALTH CARE CENTER,MO,65065,For profit - Corporation,94,67.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,3,2.89199,0.92655,3.81854,0.18884,0,0,1,1,5,1,6
CHRISTIAN EXTENDED CARE & REHABILITATION,MO,63136,Non profit - Corporation,60,46.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,4,4,2.29865,1.91537,4.21401,0.29589,0,0,2,0,2,0,2
"NHC HEALTHCARE, JOPLIN",MO,64803,For profit - Corporation,126,78.1,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,2,3,1,2.04348,0.85339,2.89687,0.18821,1,2,17,1,3,0,3
OZARK REHABILITATION & HEALTH CARE CENTER,MO,65065,For profit - Corporation,60,50,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,3,1,1.99146,0.61787,2.60933,0.06247,0,0,0,1,2,0,2
WARRENTON MANOR,MO,63390,For profit - Corporation,120,69.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,1.81695,0.9767,2.79365,0.32122,1,0,1,0,0,0,0
AURORA NURSING CENTER,MO,65605,For profit - Corporation,125,55.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,2.19446,1.09438,3.28884,0.17595,,4,3,3,7,0,7
LIFE CARE CENTER OF CAPE GIRARDEAU,MO,63703,For profit - Corporation,120,80.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,2,3,2.01866,1.91602,3.93468,0.54022,,0,0,0,1,0,1
SPRING VALLEY HEALTH & REHABILITATION CENTER,MO,65804,For profit - Limited Liability company,194,140.3,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,2,1,1.43623,0.99148,2.42771,0.18644,1,1,30,5,2,1,3
WESTWOOD HILLS HEALTH & REHABILITATION CENTER,MO,63901,For profit - Individual,132,59,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,2.00834,0.88846,2.8968,0.28005,3,0,0,0,0,0,0
ST ANDREW'S AT FRANCIS PLACE,MO,63025,Non profit - Church related,106,91.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,2,3,2.03795,0.84934,2.88729,0.2855,0,0,3,1,4,0,4
TWIN PINES ADULT CARE CENTER,MO,63501,Government - County,120,58.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,4,2.72014,1.69868,4.41883,0.1868,0,1,13,0,1,0,1
LOCH HAVEN,MO,63552,Government - County,160,70.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,4,5,3.23069,1.55968,4.79037,0.37495,,1,3,0,0,0,0
CEDARCREST MANOR,MO,63090,For profit - Individual,177,,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,5,1,,,,,,0,1,1,1,0,1
CEDARGATE HEALTHCARE,MO,63901,For profit - Limited Liability company,108,40.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,1.73367,1.32202,3.0557,0.51381,0,0,0,0,0,0,0
STONEBRIDGE VILLA MARIE,MO,65109,For profit - Corporation,120,64.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,3,1.85092,1.14225,2.99317,0.39505,0,0,3,1,3,0,3
NEW MADRID LIVING CENTER,MO,63869,For profit - Corporation,112,55.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,2,1.76311,1.18105,2.94417,0.21517,0,0,0,0,0,0,0
RIVER OAKS CARE CENTER,MO,63877,For profit - Individual,90,69,Medicare and Medicaid,N,N,,N,Y,None,Yes,2,4,1,1,2.34851,0.81809,3.1666,0.20592,0,0,4,0,0,0,0
"SCENIC NURSING AND REHABILITATION CENTER, LLC",MO,63048,For profit - Corporation,189,163,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,1.63532,1.04265,2.67797,0.18228,0,0,0,0,0,0,0
ST JAMES LIVING CENTER,MO,65559,For profit - Corporation,90,54.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.85055,0.99382,2.84437,0.29349,2,1,3,0,1,0,1
MARK TWAIN MANOR,MO,63044,For profit - Corporation,120,63.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,3,1,2.11073,0.93746,3.04819,0.27291,,3,24,2,7,1,8
MAPLE LAWN NURSING HOME,MO,63461,Government - County,110,55.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,2,5,2.28262,1.72909,4.01171,0.27147,,1,2,0,6,1,7
MILAN HEALTH CARE CENTER,MO,63556,For profit - Corporation,100,95.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,3,2,1,0.86457,0.47175,1.33633,0.08753,,0,5,0,1,0,1
HERMITAGE NURSING & REHAB,MO,65668,For profit - Individual,120,76.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,2,2.19337,0.64034,2.83371,0.16422,1,2,0,0,0,0,0
COLONIAL SPRINGS HEALTHCARE CENTER,MO,65622,Non profit - Corporation,134,109.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,2,2.02679,0.89103,2.91782,0.22081,0,1,1,0,2,0,2
SHADY OAKS HEALTHCARE CENTER,MO,65791,For profit - Individual,120,57.5,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,4,3,1,1.49272,1.17212,2.66484,0.27195,0,0,0,0,0,0,0
KIRKSVILLE MANOR CARE CENTER,MO,63501,For profit - Corporation,119,53.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,3,1,2.9888,1.24864,4.23744,0.14836,0,0,3,3,0,0,0
MARIES MANOR,MO,65582,For profit - Individual,98,54.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,4,5,2,1.29736,1.04633,2.34369,0.26326,0,0,1,1,2,0,2
"VILLA AT BLUE RIDGE, THE",MO,65201,For profit - Corporation,97,60,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,2,2.02623,1.15585,3.18208,0.14148,0,0,0,1,0,0,0
TRUMAN HEALTHCARE & REHABILITATION CENTER,MO,64759,For profit - Individual,109,94.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,2,2.35567,0.818,3.17368,0.27614,0,3,10,1,1,0,1
HEART OF THE OZARKS HEALTHCARE CENTER,MO,65608,For profit - Individual,120,77.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,2,2.18813,0.85728,3.04541,0.60145,0,0,0,0,0,0,0
CLINTON HEALTHCARE AND REHABILITATION CENTER,MO,64735,For profit - Corporation,120,65.6,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,2,3,1,1.55947,0.9668,2.52628,0.12279,2,2,0,0,2,1,3
BELLEVIEW VALLEY NURSING HOME,MO,63623,For profit - Limited Liability company,109,103.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.78862,0.52747,2.31609,0.037,0,2,6,0,1,1,2
MEDICALODGES NEOSHO,MO,64850,For profit - Corporation,114,51.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,1.58375,0.99445,2.5782,0.23722,1,1,1,1,1,0,1
BUTLER CENTER FOR REHABILITATION AND HEALTHCARE,MO,64730,For profit - Corporation,98,59,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,1.71699,1.19297,2.90995,0.31463,0,0,0,0,1,0,1
CEDAR POINTE,MO,65401,For profit - Limited Liability company,102,74.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,3,1,2,1.87912,0.85037,2.72949,0.18175,1,1,4,1,2,0,2
JEFFERSON CITY MANOR CARE CENTER,MO,65109,For profit - Corporation,102,69.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,4,1,1,2.207,0.84575,3.05275,0.1354,2,1,0,0,1,0,1
COX MEDICAL CENTERS MEYER ORTHOPEDIC AND REHAB,MO,65807,Non profit - Corporation,28,17.2,Medicare,Y,N,,N,N,None,Yes,5,5,4,4,2.06323,5.85894,7.92217,5.08879,,0,0,0,9,0,9
LIFE CARE CENTER OF CARROLLTON,MO,64633,For profit - Partnership,120,55.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.29124,1.17236,3.46359,0.17798,,2,5,1,0,0,0
PARKSIDE MANOR,MO,65202,For profit - Individual,120,60.6,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,2,3,1,2.24545,0.85819,3.10364,0.22749,3,1,10,3,3,0,3
IGNITE MEDICAL RESORT CARONDELET LLC,MO,64114,For profit - Limited Liability company,162,114.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,1.83342,0.97162,2.80504,0.2507,0,2,19,6,0,0,0
WEBB CITY HEALTH AND REHABILITATION CENTER,MO,64870,For profit - Corporation,120,102.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,,,,,,0,1,0,1,0,1
NEW MARK CARE CENTER,MO,64155,For profit - Corporation,199,107,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,2.34129,1.16499,3.50628,0.28998,0,1,2,2,1,1,2
JOPLIN HEALTH AND REHABILITATION CENTER,MO,64804,For profit - Individual,120,106.1,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,2,2,2.00556,1.07871,3.08426,0.21644,,4,4,2,0,0,0
DELMAR GARDENS SOUTH,MO,63128,For profit - Corporation,149,121.6,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,4,4,4.13671,1.81491,5.95162,0.44095,,0,0,0,0,0,0
GAINESVILLE HEALTH CARE CENTER,MO,65655,For profit - Corporation,99,49.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,3,1,1.73513,0.96273,2.69786,0.30795,,2,0,1,0,0,0
"NHC HEALTHCARE, MARYLAND HEIGHTS",MO,63043,For profit - Corporation,220,188.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,3,2.0421,1.12538,3.16748,0.18962,0,0,2,1,0,0,0
PARKLANE CARE AND REHABILITATION CENTER,MO,63385,For profit - Individual,240,65,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.39035,1.50928,2.89963,0.1806,,0,0,0,13,0,13
CARTHAGE HEALTH AND REHABILITATION CENTER,MO,64836,For profit - Corporation,120,98.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,4,2,1,2.53321,1.10624,3.63945,0.09807,,3,4,0,1,0,1
GARDEN VIEW CARE CENTER,MO,63366,For profit - Corporation,36,18.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,2,4,2.61592,1.19968,3.81561,0.40611,0,1,5,7,1,0,1
NIXA NURSING & REHAB,MO,65714,For profit - Corporation,82,63.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,5,2,1,2.23376,0.84106,3.07482,0.20073,0,0,0,0,0,0,0
WOODLAND MANOR NURSING CENTER,MO,63010,For profit - Partnership,178,145,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,2.17731,0.83764,3.01494,0.1007,3,0,0,2,4,0,4
DELMAR GARDENS NORTH,MO,63033,For profit - Limited Liability company,199,141.4,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,2,2,3,2,2.80829,0.95098,3.75927,0.08664,,1,9,1,2,1,3
REPUBLIC NURSING & REHAB,MO,65738,For profit - Corporation,127,105.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,2,1.92133,0.92596,2.84729,0.22287,1,0,0,0,0,1,1
PHELPS HEALTH,MO,65401,Non profit - Other,20,7.9,Medicare,Y,N,,N,Y,None,Yes,5,4,4,5,1.72815,5.59093,7.31908,4.8445,,0,0,0,0,0,0
NORTH VILLAGE PARK,MO,65270,For profit - Limited Liability company,183,178.8,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,2,1,0.83666,0.25489,1.09155,0.04646,,38,115,0,8,4,12
CHESTNUT REHAB AND NURSING,MO,63128,For profit - Individual,166,101.8,Medicare and Medicaid,N,N,SFF Candidate,Y,Y,Resident,Yes,1,1,2,1,1.9727,1.0719,3.04459,0.2016,,10,53,11,6,2,8
ASPIRE SENIOR LIVING JONESBURG,MO,63351,For profit - Partnership,90,66.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.18543,1.09319,2.27862,0.17826,,0,5,0,1,0,1
WILLOW CARE NURSING HOME,MO,65793,Non profit - Corporation,105,72.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,2,2.281,0.91059,3.1916,0.21712,,0,0,0,0,0,0
CARRIAGE SQUARE REHAB AND HEALTHCARE CENTER,MO,64506,For profit - Limited Liability company,130,73.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,2.51924,1.09161,3.61086,0.2483,,0,3,1,1,1,2
PACIFIC CARE CENTER,MO,63069,For profit - Corporation,118,61.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,4,4,1.83182,1.12502,2.95685,0.51894,1,0,0,0,0,0,0
"WESTCHESTER HOUSE, THE",MO,63017,For profit - Corporation,159,67.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,2,2.20329,1.43691,3.6402,0.2312,,1,16,2,2,1,3
POLARIS HEALTH & WELLNESS OF AUTUMN TERRACE,MO,64133,For profit - Corporation,154,111.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,2,2.31218,1.03961,3.35179,0.47059,2,0,7,0,2,0,2
LIFE CARE CENTER OF SULLIVAN,MO,63080,For profit - Corporation,120,67.8,Medicare and Medicaid,N,N,,N,N,None,Yes,3,3,3,2,1.99226,1.58218,3.57444,0.25419,,0,8,0,2,0,2
"PILLARS OF NORTH COUNTY HEALTH & REHAB CENTER, THE",MO,63033,For profit - Individual,120,45.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,1,5,1,1.35668,1.03915,2.39583,0.28226,3,0,10,1,2,0,2
DELMAR GARDENS OF CREVE COEUR,MO,63141,For profit - Limited Liability company,148,104.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,5,2,2.43551,0.86892,3.30442,0.25172,,1,7,1,0,0,0
LIFE CARE CENTER OF BRIDGETON,MO,63044,For profit - Corporation,91,73.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.12441,1.46388,3.58829,0.19177,,3,32,0,2,1,3
ADAIR VILLAGE,MO,64735,For profit - Corporation,120,21.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,4,2.13776,1.75051,3.88827,0.65987,2,0,0,0,0,0,0
CAMELOT NURSING AND REHABILITATION CENTER,MO,63640,For profit - Limited Liability company,97,68.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,2,1,1.98927,1.29084,3.28011,0.14913,0,1,5,1,7,0,7
GOLDEN YEARS CENTER FOR REHAB AND HEALTHCARE,MO,64701,For profit - Limited Liability company,128,70.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,1,1.59795,1.30625,2.9042,0.14899,,0,3,2,2,0,2
LANSDOWNE VILLAGE,MO,63116,For profit - Limited Liability company,145,99,Medicare and Medicaid,N,N,,N,N,None,Yes,1,1,3,1,2.23969,0.95791,3.1976,0.16581,1,0,79,0,1,1,2
WEST COUNTY CARE CENTER,MO,63021,For profit - Corporation,137,46.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,1,1,1.58146,1.02242,2.60388,0.11461,2,2,3,4,17,0,17
QUAIL RUN HEALTH CARE CENTER,MO,64429,For profit - Individual,84,43.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,1.96958,1.20415,3.17373,0.52851,,0,8,0,0,0,0
MARYVILLE LIVING CENTER,MO,64468,For profit - Partnership,105,49.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,4,1.78236,1.36192,3.14428,0.35582,0,1,0,1,0,0,0
LIFE CARE CENTER OF GRANDVIEW,MO,64030,For profit - Partnership,172,110,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,2,2.21092,1.2617,3.47262,0.31695,,4,12,3,2,0,2
VALLEY MANOR AND REHABILITATION CENTER,MO,64024,For profit - Individual,120,63.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,5,3,1,1.66943,0.84196,2.5114,0.27668,0,0,2,0,0,0,0
RIVERBEND HEIGHTS HEALTH & REHABILITATION,MO,64067,For profit - Individual,154,92.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,2.02349,0.91244,2.93592,0.1381,1,5,15,4,5,2,7
"LUTHERAN HOME, THE",MO,63703,Non profit - Corporation,274,163.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,2,5,2.80801,1.73251,4.54052,0.33312,0,0,0,0,0,0,0
LEWIS COUNTY NURSING HOME DISTRICT,MO,63435,Government - County,118,47,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.10598,1.1535,3.25948,0.34783,0,0,0,0,4,0,4
RIVERDELL CARE CENTER,MO,65233,For profit - Individual,60,47.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,2,1.80265,0.92008,2.72273,0.32146,2,0,3,1,2,0,2
MEADOW VIEW HEALTH & REHABILITATION,MO,64701,For profit - Individual,120,88.3,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,1,4,3,1.5102,1.44354,2.95374,0.44242,1,1,1,0,2,0,2
RIVERWAYS MANOR,MO,63965,For profit - Corporation,60,46.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,2,1.81552,0.94807,2.76359,0.52216,0,0,2,0,0,0,0
LINN OAK REHABILITATION CENTER,MO,65051,For profit - Corporation,132,7.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,3,1,,,,,,0,0,0,0,0,0
STONEBRIDGE FLORISSANT,MO,63034,For profit - Limited Liability company,120,83.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,2.09801,0.85876,2.95677,0.23748,,1,11,0,1,0,1
CYPRESS POINT-SKILLED NURSING BY AMERICARE,MO,63841,For profit - Corporation,79,64.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,2.49858,1.51317,4.01174,0.42978,0,0,0,0,1,0,1
ROCK POINT NURSING CENTER,MO,65438,For profit - Partnership,86,64.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,1.86959,0.99126,2.86086,0.32179,0,0,0,0,0,0,0
CRYSTAL OAKS,MO,63028,For profit - Partnership,131,86.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,3.14215,1.45902,4.60117,0.47069,1,0,0,0,0,0,0
LIFE CARE CENTER OF WAYNESVILLE,MO,65583,For profit - Corporation,120,56.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,2,2.15719,1.37153,3.52872,0.21789,4,0,0,0,0,0,0
GRANDVIEW HEALTHCARE CENTER,MO,63090,For profit - Limited Liability company,102,65.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,3,1.93005,1.19624,3.12629,0.26772,1,0,0,0,1,0,1
JEFFERSON HEALTH CARE,MO,64081,For profit - Limited Liability company,118,56.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,1,1.26201,0.90176,2.16378,0.29781,2,1,2,0,0,0,0
ROYAL OAK NURSING & REHAB,MO,63108,For profit - Corporation,168,58.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,2,1,0.38942,0.13636,0.52577,0.02625,1,7,23,12,8,1,9
"RIVERSIDE NURSING & REHABILITATION CENTER, LLC",MO,64150,For profit - Limited Liability company,180,89.6,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,2.53415,1.07791,3.61206,0.24634,3,5,56,3,5,3,8
NORTHWOOD HILLS CARE CENTER,MO,65674,For profit - Corporation,120,85.5,Medicare and Medicaid,N,N,,Y,Y,Resident,Yes,2,2,2,2,2.1218,1.21934,3.34114,0.10681,,5,0,1,1,0,1
DEXTER LIVING CENTER,MO,63841,For profit - Individual,73,20.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,2.36075,1.46091,3.82166,0.53371,2,0,0,0,1,0,1
FOUNTAINBLEAU LODGE,MO,63701,For profit - Corporation,33,28.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,3,2,1,0.95575,0.53508,1.49082,0.14232,,0,6,2,24,0,24
RIDGEVIEW LIVING COMMUNITY,MO,63863,For profit - Individual,96,23.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,5,1,1.84812,0.92758,2.77569,0.4252,2,0,0,0,0,0,0
HERITAGE HALL NURSING CENTER,MO,65240,For profit - Corporation,60,38.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.68981,1.20102,3.89083,0.41729,,0,1,1,1,0,1
HUNTER ACRES CARING CENTER,MO,63801,For profit - Individual,120,86.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,2.5087,0.86621,3.37491,0.20856,,0,2,3,1,0,1
SOUTHBROOK NURSING CENTER,MO,63640,For profit - Corporation,104,66.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,4,2.26044,1.41346,3.6739,0.26712,0,0,0,0,0,0,0
SUNSET HEALTH CARE CENTER,MO,63084,For profit - Corporation,120,108.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,5,1,1.26218,0.99412,2.2563,0.12411,1,0,2,0,4,0,4
DELHAVEN MANOR,MO,63112,For profit - Individual,156,54.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,2,2,1.91233,1.00104,2.91337,0.15444,0,1,7,5,1,0,1
SHEPHERD OF THE HILLS LIVING CENTER,MO,65616,For profit - Corporation,100,73.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,2,1.88702,1.24973,3.13675,0.42319,3,0,0,0,0,0,0
JORDAN CREEK NURSING & REHAB,MO,65802,For profit - Limited Liability company,120,,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,5,1,,,,,,2,2,3,0,0,0
CORI MANOR HEALTHCARE & REHABILITATION CENTER,MO,63026,For profit - Corporation,144,83.3,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,3,1,1,1.57324,0.82053,2.39378,0.26643,,0,1,1,13,0,13
CALIFORNIA CARE CENTER,MO,65018,For profit - Corporation,60,28.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,1,1.37855,1.20293,2.58148,0.07268,2,0,1,0,0,0,0
GAMMA ROAD LODGE,MO,63384,For profit - Limited Liability company,112,44.6,Medicare and Medicaid,N,N,,Y,Y,Both,Yes,1,1,3,2,1.67935,0.83585,2.51521,0.3701,0,3,2,0,2,0,2
BROOKE HAVEN HEALTHCARE,MO,65775,Non profit - Corporation,120,74.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,5,1,2,2.03688,1.12906,3.16594,0.39237,,3,2,1,1,0,1
FESTUS MANOR,MO,63028,For profit - Limited Liability company,150,112.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,1,1.78974,1.01897,2.80871,0.34527,,2,10,0,11,0,11
RANCHO REHAB AND HEALTHCARE CENTER,MO,63031,For profit - Corporation,120,93.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,1,1,1.9761,0.87059,2.84669,0.27361,,0,5,1,1,0,1
